20:45:42.841 > Starting HX711 dual-example (Teensy + Adafruit HX711)
20:45:42.841 > Scale 1 is busy...
20:45:42.848 > Scale 2 is busy...
20:45:42.858 > Scale 1 is busy...
20:45:42.858 > Scale 2 is busy...
20:45:42.868 > Scale 1 is busy...
20:45:42.868 > Scale 2 is busy...
20:45:42.878 > Scale 1 is busy...
20:45:42.878 > Scale 2 is busy...
20:45:42.884 > Scale 1 is busy...
20:45:42.884 > Scale 2 is busy...
20:45:42.892 > Scale 1 is busy...
20:45:42.892 > Scale 2 is busy...
20:45:42.908 > Scale 1 is busy...
20:45:42.908 > Scale 2 is busy...
20:45:42.926 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
20:45:42.926 > Calibrating both scales together:
20:45:49.577 > Tare1 raw = 128974
20:45:49.577 > Tare2 raw = 56276
20:45:49.577 > 
20:45:49.577 > Calibration complete. Readings follow...
20:45:55.726 > [char] Starting throttle ramp to 0.40 then back to 0
20:45:56.690 > READ_CSV,18076,1,-2469.172,0,52.233700,128974,0.038,5.258
20:45:56.690 > READ_CSV,18076,2,-1077.389,0,52.233700,56276,0.038,5.258
20:45:56.690 > READ_CSV,18076,3,-1773.281,0,52.233700,0,0.038,5.258
20:45:56.698 > READ_CSV,18088,1,-2469.172,0,52.233700,128974,0.039,5.251
20:45:56.698 > READ_CSV,18088,2,-1077.389,0,52.233700,56276,0.039,5.251
20:45:56.698 > READ_CSV,18088,3,-1773.281,0,52.233700,0,0.039,5.251
20:45:56.715 > READ_CSV,18101,1,-2469.172,0,52.233700,128974,0.039,5.258
20:45:56.715 > READ_CSV,18101,2,-1077.389,0,52.233700,56276,0.039,5.258
20:45:56.715 > READ_CSV,18101,3,-1773.281,0,52.233700,0,0.039,5.258
20:45:56.727 > READ_CSV,18113,1,-2469.172,0,52.233700,128974,0.040,5.280
20:45:56.727 > READ_CSV,18113,2,-1077.389,0,52.233700,56276,0.040,5.280
20:45:56.727 > READ_CSV,18113,3,-1773.281,0,52.233700,0,0.040,5.280
20:45:56.739 > READ_CSV,18126,1,-2469.172,0,52.233700,128974,0.040,5.251
20:45:56.739 > READ_CSV,18126,2,-1077.389,0,52.233700,56276,0.040,5.251
20:45:56.739 > READ_CSV,18126,3,-1773.281,0,52.233700,0,0.040,5.251
20:45:56.747 > READ_CSV,18138,1,-2469.172,0,52.233700,128974,0.041,5.265
20:45:56.747 > READ_CSV,18138,2,-1077.389,0,52.233700,56276,0.041,5.265
20:45:56.747 > READ_CSV,18138,3,-1773.281,0,52.233700,0,0.041,5.265
20:45:56.764 > READ_CSV,18151,1,-2469.172,0,52.233700,128974,0.041,5.258
20:45:56.764 > READ_CSV,18151,2,-1077.389,0,52.233700,56276,0.041,5.258
20:45:56.764 > READ_CSV,18151,3,-1773.281,0,52.233700,0,0.041,5.258
20:45:56.774 > READ_CSV,18163,1,-2469.172,0,52.233700,128974,0.042,5.258
20:45:56.778 > READ_CSV,18163,2,-1077.389,0,52.233700,56276,0.042,5.258
20:45:56.778 > READ_CSV,18163,3,-1773.281,0,52.233700,0,0.042,5.258
20:45:56.786 > READ_CSV,18176,1,-2469.172,0,52.233700,128974,0.042,5.258
20:45:56.786 > READ_CSV,18176,2,-1077.389,0,52.233700,56276,0.042,5.258
20:45:56.786 > READ_CSV,18176,3,-1773.281,0,52.233700,0,0.042,5.258
20:45:56.803 > READ_CSV,18188,1,-2469.172,0,52.233700,128974,0.043,5.258
20:45:56.803 > READ_CSV,18188,2,-1077.389,0,52.233700,56276,0.043,5.258
20:45:56.803 > READ_CSV,18188,3,-1773.281,0,52.233700,0,0.043,5.258
20:45:56.814 > READ_CSV,18201,1,-2469.172,0,52.233700,128974,0.043,5.236
20:45:56.814 > READ_CSV,18201,2,-1077.389,0,52.233700,56276,0.043,5.236
20:45:56.814 > READ_CSV,18201,3,-1773.281,0,52.233700,0,0.043,5.236
20:45:56.828 > READ_CSV,18213,1,-2469.172,0,52.233700,128974,0.044,5.265
20:45:56.828 > READ_CSV,18213,2,-1077.389,0,52.233700,56276,0.044,5.265
20:45:56.828 > READ_CSV,18213,3,-1773.281,0,52.233700,0,0.044,5.265
20:45:56.837 > READ_CSV,18226,1,-2469.172,0,52.233700,128974,0.044,5.265
20:45:56.837 > READ_CSV,18226,2,-1077.389,0,52.233700,56276,0.044,5.265
