source_file,clock_time,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
100-test-1.log,00:32:48.662,16052,2,-1.944,128254,51.957458,128355,0.025,0.46
100-test-1.log,00:32:48.662,16052,3,-0.828,0,51.957458,0,0.025,0.46
100-test-1.log,00:32:48.675,16065,1,1.925,-34563,51.957458,-34663,0.025,0.46
100-test-1.log,00:32:48.675,16065,2,-0.654,128321,51.957458,128355,0.025,0.46
100-test-1.log,00:32:48.675,16065,3,0.635,0,51.957458,0,0.025,0.46
100-test-1.log,00:32:48.688,16078,1,0.905,-34616,51.957458,-34663,0.025,0.46
100-test-1.log,00:32:48.688,16078,2,2.117,128465,51.957458,128355,0.025,0.46
100-test-1.log,00:32:48.688,16078,3,1.511,0,51.957458,0,0.025,0.46
100-test-1.log,00:32:48.702,16091,1,0.096,-34658,51.957458,-34663,0.025,0.46
100-test-1.log,00:32:48.702,16091,2,2.675,128494,51.957458,128355,0.025,0.46
100-test-1.log,00:32:48.702,16091,3,1.386,0,51.957458,0,0.025,0.46
100-test-1.log,00:32:48.715,16104,1,-0.539,-34691,51.957458,-34663,0.025,0.46
100-test-1.log,00:32:48.715,16104,2,2.156,128467,51.957458,128355,0.025,0.46
100-test-1.log,00:32:48.715,16104,3,0.808,0,51.957458,0,0.025,0.46
100-test-1.log,00:32:48.738,16118,1,-0.77,-34703,51.957458,-34663,0.025,0.46
100-test-1.log,00:32:48.738,16118,2,-3.753,128160,51.957458,128355,0.025,0.46
100-test-1.log,00:32:48.738,16118,3,-2.261,0,51.957458,0,0.025,0.46
100-test-1.log,00:32:48.740,16131,1,-1.848,-34759,51.957458,-34663,0.025,0.46
100-test-1.log,00:32:48.740,16131,2,-3.657,128165,51.957458,128355,0.025,0.46
100-test-1.log,00:32:48.740,16131,3,-2.752,0,51.957458,0,0.025,0.46
100-test-1.log,00:32:48.754,16144,1,0.539,-34635,51.957458,-34663,0.025,0.46
100-test-1.log,00:32:48.754,16144,2,-2.002,128251,51.957458,128355,0.025,0.46
100-test-1.log,00:32:48.754,16144,3,-0.731,0,51.957458,0,0.025,0.46
100-test-1.log,00:32:48.768,16157,1,0.789,-34622,51.957458,-34663,0.03,0.46
100-test-1.log,00:32:48.768,16157,2,-2.271,128237,51.957458,128355,0.03,0.46
100-test-1.log,00:32:48.768,16157,3,-0.741,0,51.957458,0,0.03,0.46
100-test-1.log,00:32:48.782,16170,1,-0.327,-34680,51.957458,-34663,0.03,0.47
100-test-1.log,00:32:48.782,16170,2,-0.885,128309,51.957458,128355,0.03,0.47
100-test-1.log,00:32:48.782,16170,3,-0.606,0,51.957458,0,0.03,0.47
100-test-1.log,00:32:48.794,16184,1,1.463,-34587,51.957458,-34663,0.03,0.47
100-test-1.log,00:32:48.794,16184,2,0.0,128355,51.957458,128355,0.03,0.47
100-test-1.log,00:32:48.794,16184,3,0.731,0,51.957458,0,0.03,0.47
100-test-1.log,00:32:48.807,16197,1,2.714,-34522,51.957458,-34663,0.03,0.46
100-test-1.log,00:32:48.807,16197,2,0.058,128358,51.957458,128355,0.03,0.46
100-test-1.log,00:32:48.807,16197,3,1.386,0,51.957458,0,0.03,0.46
100-test-1.log,00:32:48.820,16210,1,0.635,-34630,51.957458,-34663,0.03,0.47
100-test-1.log,00:32:48.820,16210,2,-1.213,128292,51.957458,128355,0.03,0.47
100-test-1.log,00:32:48.820,16210,3,-0.289,0,51.957458,0,0.03,0.47
100-test-1.log,00:32:48.833,16223,1,0.885,-34617,51.957458,-34663,0.03,0.47
100-test-1.log,00:32:48.833,16223,2,2.329,128476,51.957458,128355,0.03,0.47
100-test-1.log,00:32:48.833,16223,3,1.607,0,51.957458,0,0.03,0.47
100-test-1.log,00:32:48.847,16236,1,2.887,-34513,51.957458,-34663,0.03,0.46
100-test-1.log,00:32:48.847,16236,2,4.08,128567,51.957458,128355,0.03,0.46
100-test-1.log,00:32:48.847,16236,3,3.484,0,51.957458,0,0.03,0.46
100-test-1.log,00:32:48.860,16249,1,2.444,-34536,51.957458,-34663,0.03,0.47
100-test-1.log,00:32:48.860,16249,2,2.868,128504,51.957458,128355,0.03,0.47
100-test-1.log,00:32:48.860,16249,3,2.656,0,51.957458,0,0.03,0.47
100-test-1.log,00:32:48.873,16263,1,0.25,-34650,51.957458,-34663,0.03,0.46
100-test-1.log,00:32:48.873,16263,2,-0.462,128331,51.957458,128355,0.03,0.46
100-test-1.log,00:32:48.873,16263,3,-0.106,0,51.957458,0,0.03,0.46
100-test-1.log,00:32:48.886,16276,1,-0.192,-34673,51.957458,-34663,0.03,0.47
100-test-1.log,00:32:48.886,16276,2,-3.676,128164,51.957458,128355,0.03,0.47
100-test-1.log,00:32:48.886,16276,3,-1.934,0,51.957458,0,0.03,0.47
100-test-1.log,00:32:48.899,16289,1,1.578,-34581,51.957458,-34663,0.035,0.47
100-test-1.log,00:32:48.899,16289,2,0.115,128361,51.957458,128355,0.035,0.47
100-test-1.log,00:32:48.899,16289,3,0.847,0,51.957458,0,0.035,0.47
100-test-1.log,00:32:48.912,16302,1,-1.694,-34751,51.957458,-34663,0.035,0.47
100-test-1.log,00:32:48.912,16302,2,-0.077,128351,51.957458,128355,0.035,0.47
100-test-1.log,00:32:48.912,16302,3,-0.885,0,51.957458,0,0.035,0.47
100-test-1.log,00:32:48.925,16315,1,-0.385,-34683,51.957458,-34663,0.035,0.46
100-test-1.log,00:32:48.925,16315,2,-1.174,128294,51.957458,128355,0.035,0.46
100-test-1.log,00:32:48.925,16315,3,-0.779,0,51.957458,0,0.035,0.46
100-test-1.log,00:32:48.939,16329,1,0.751,-34624,51.957458,-34663,0.035,0.47
100-test-1.log,00:32:48.939,16329,2,0.327,128372,51.957458,128355,0.035,0.47
100-test-1.log,00:32:48.939,16329,3,0.539,0,51.957458,0,0.035,0.47
100-test-1.log,00:32:48.952,16342,1,2.233,-34547,51.957458,-34663,0.035,0.46
100-test-1.log,00:32:48.952,16342,2,0.905,128402,51.957458,128355,0.035,0.46
100-test-1.log,00:32:48.952,16342,3,1.569,0,51.957458,0,0.035,0.46
100-test-1.log,00:32:48.965,16355,1,3.522,-34480,51.957458,-34663,0.035,0.47
100-test-1.log,00:32:48.965,16355,2,-0.212,128344,51.957458,128355,0.035,0.47
100-test-1.log,00:32:48.965,16355,3,1.655,0,51.957458,0,0.035,0.47
100-test-1.log,00:32:48.979,16368,1,2.752,-34520,51.957458,-34663,0.035,0.47
100-test-1.log,00:32:48.979,16368,2,0.231,128367,51.957458,128355,0.035,0.47
100-test-1.log,00:32:48.979,16368,3,1.492,0,51.957458,0,0.035,0.47
100-test-1.log,00:32:48.992,16381,1,-1.097,-34720,51.957458,-34663,0.035,0.47
100-test-1.log,00:32:48.992,16381,2,-2.233,128239,51.957458,128355,0.035,0.47
100-test-1.log,00:32:48.992,16381,3,-1.665,0,51.957458,0,0.035,0.47
100-test-1.log,00:32:49.005,16395,1,-0.616,-34695,51.957458,-34663,0.035,0.47
100-test-1.log,00:32:49.005,16395,2,0.231,128367,51.957458,128355,0.035,0.47
100-test-1.log,00:32:49.005,16395,3,-0.192,0,51.957458,0,0.035,0.47
100-test-1.log,00:32:49.018,16408,1,0.674,-34628,51.957458,-34663,0.035,0.47
100-test-1.log,00:32:49.018,16408,2,-5.043,128093,51.957458,128355,0.035,0.47
100-test-1.log,00:32:49.018,16408,3,-2.184,0,51.957458,0,0.035,0.47
100-test-1.log,00:32:49.031,16421,1,1.27,-34597,51.957458,-34663,0.04,0.47
100-test-1.log,00:32:49.031,16421,2,-6.217,128032,51.957458,128355,0.04,0.47
100-test-1.log,00:32:49.031,16421,3,-2.473,0,51.957458,0,0.04,0.47
100-test-1.log,00:32:49.045,16434,1,3.041,-34505,51.957458,-34663,0.04,0.47
100-test-1.log,00:32:49.045,16434,2,-5.601,128064,51.957458,128355,0.04,0.47
100-test-1.log,00:32:49.045,16434,3,-1.28,0,51.957458,0,0.04,0.47
100-test-1.log,00:32:49.057,16447,1,2.637,-34526,51.957458,-34663,0.04,0.47
100-test-1.log,00:32:49.057,16447,2,-4.985,128096,51.957458,128355,0.04,0.47
100-test-1.log,00:32:49.057,16447,3,-1.174,0,51.957458,0,0.04,0.47
100-test-1.log,00:32:49.071,16461,1,-0.674,-34698,51.957458,-34663,0.04,0.47
100-test-1.log,00:32:49.071,16461,2,-2.848,128207,51.957458,128355,0.04,0.47
100-test-1.log,00:32:49.071,16461,3,-1.761,0,51.957458,0,0.04,0.47
100-test-1.log,00:32:49.084,16474,1,-3.599,-34850,51.957458,-34663,0.04,0.47
100-test-1.log,00:32:49.084,16474,2,0.192,128365,51.957458,128355,0.04,0.47
100-test-1.log,00:32:49.084,16474,3,-1.703,0,51.957458,0,0.04,0.47
100-test-1.log,00:32:49.097,16487,1,-0.443,-34686,51.957458,-34663,0.04,0.47
100-test-1.log,00:32:49.097,16487,2,-0.096,128350,51.957458,128355,0.04,0.47
100-test-1.log,00:32:49.097,16487,3,-0.269,0,51.957458,0,0.04,0.47
100-test-1.log,00:32:49.110,16500,1,-2.425,-34789,51.957458,-34663,0.04,0.47
100-test-1.log,00:32:49.110,16500,2,0.616,128387,51.957458,128355,0.04,0.47
100-test-1.log,00:32:49.110,16500,3,-0.905,0,51.957458,0,0.04,0.47
100-test-1.log,00:32:49.124,16513,1,0.231,-34651,51.957458,-34663,0.04,0.47
100-test-1.log,00:32:49.124,16513,2,1.944,128456,51.957458,128355,0.04,0.47
100-test-1.log,00:32:49.124,16513,3,1.087,0,51.957458,0,0.04,0.47
100-test-1.log,00:32:49.136,16526,1,-0.635,-34696,51.957458,-34663,0.04,0.47
100-test-1.log,00:32:49.136,16526,2,2.329,128476,51.957458,128355,0.04,0.47
100-test-1.log,00:32:49.136,16526,3,0.847,0,51.957458,0,0.04,0.47
100-test-1.log,00:32:49.150,16540,1,-1.001,-34715,51.957458,-34663,0.04,0.47
100-test-1.log,00:32:49.150,16540,2,-2.868,128206,51.957458,128355,0.04,0.47
100-test-1.log,00:32:49.150,16540,3,-1.934,0,51.957458,0,0.04,0.47
100-test-1.log,00:32:49.164,16553,1,-4.215,-34882,51.957458,-34663,0.045,0.47
100-test-1.log,00:32:49.164,16553,2,-2.579,128221,51.957458,128355,0.045,0.47
100-test-1.log,00:32:49.164,16553,3,-3.397,0,51.957458,0,0.045,0.47
100-test-1.log,00:32:49.176,16566,1,-2.348,-34785,51.957458,-34663,0.045,0.47
100-test-1.log,00:32:49.176,16566,2,0.597,128386,51.957458,128355,0.045,0.47
100-test-1.log,00:32:49.176,16566,3,-0.876,0,51.957458,0,0.045,0.47
100-test-1.log,00:32:49.189,16579,1,1.001,-34611,51.957458,-34663,0.045,0.47
100-test-1.log,00:32:49.189,16579,2,5.351,128633,51.957458,128355,0.045,0.47
100-test-1.log,00:32:49.189,16579,3,3.176,0,51.957458,0,0.045,0.47
100-test-1.log,00:32:49.203,16592,1,1.52,-34584,51.957458,-34663,0.045,0.47
100-test-1.log,00:32:49.203,16592,2,2.983,128510,51.957458,128355,0.045,0.47
100-test-1.log,00:32:49.203,16592,3,2.252,0,51.957458,0,0.045,0.47
100-test-1.log,00:32:49.217,16606,1,-0.52,-34690,51.957458,-34663,0.045,0.47
100-test-1.log,00:32:49.217,16606,2,-2.213,128240,51.957458,128355,0.045,0.47
100-test-1.log,00:32:49.217,16606,3,-1.367,0,51.957458,0,0.045,0.47
100-test-1.log,00:32:49.229,16619,1,-1.251,-34728,51.957458,-34663,0.045,0.47
100-test-1.log,00:32:49.229,16619,2,-3.695,128163,51.957458,128355,0.045,0.47
100-test-1.log,00:32:49.229,16619,3,-2.473,0,51.957458,0,0.045,0.47
100-test-1.log,00:32:49.243,16632,1,0.828,-34620,51.957458,-34663,0.045,0.47
100-test-1.log,00:32:49.243,16632,2,-3.079,128195,51.957458,128355,0.045,0.47
100-test-1.log,00:32:49.243,16632,3,-1.126,0,51.957458,0,0.045,0.47
100-test-1.log,00:32:49.256,16645,1,0.404,-34642,51.957458,-34663,0.045,0.47
100-test-1.log,00:32:49.256,16645,2,1.905,128454,51.957458,128355,0.045,0.47
100-test-1.log,00:32:49.256,16645,3,1.155,0,51.957458,0,0.045,0.47
100-test-1.log,00:32:49.269,16658,1,-0.828,-34706,51.957458,-34663,0.045,0.47
100-test-1.log,00:32:49.269,16658,2,-1.174,128294,51.957458,128355,0.045,0.47
100-test-1.log,00:32:49.269,16658,3,-1.001,0,51.957458,0,0.045,0.47
100-test-1.log,00:32:49.281,16672,1,0.135,-34656,51.957458,-34663,0.045,0.47
100-test-1.log,00:32:49.281,16672,2,-0.481,128330,51.957458,128355,0.045,0.47
100-test-1.log,00:32:49.281,16672,3,-0.173,0,51.957458,0,0.045,0.47
100-test-1.log,00:32:49.295,16685,1,-0.019,-34664,51.957458,-34663,0.05,0.47
100-test-1.log,00:32:49.295,16685,2,-1.405,128282,51.957458,128355,0.05,0.47
100-test-1.log,00:32:49.295,16685,3,-0.712,0,51.957458,0,0.05,0.47
100-test-1.log,00:32:49.308,16698,1,-0.212,-34674,51.957458,-34663,0.05,0.47
100-test-1.log,00:32:49.308,16698,2,-3.58,128169,51.957458,128355,0.05,0.47
100-test-1.log,00:32:49.308,16698,3,-1.896,0,51.957458,0,0.05,0.47
